Cantons,Canton,Year,Nb_Centres,y11,y12,y13,y14,y15,y16,y17,y18,y19,CN,CN15,Difference_CN,AO_CN11,AO_CN15,Difference_AO_CN,Difference_AO15_CN15,Difference_PE15_CN15,Month,Nb_Centres_m,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,key
TICINO,11.TI,2011,4,4,4,4,6,8,9,8,8,8,4,8,4,4,8,4,0,2,2010,,,,,1,,,,,,1,,,,,,,,,,1,,,,,4.1
URI,02.UR,2011,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2010,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
NIDWALDEN,08.NW,2011,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,2010,,,,,,,,,,,,,,,,1,,-1,,,1,-1,,,,0.5
SCHWYZ,15.SZ,2011,5,5,5,5,4,5,4,6,4,4,5,5,0,5,5,0,0,2,2010,,,,,,,,,,,1,,,,,,,,,,,,,,,1.9
OBWALDEN,01.OW,2011,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2010,,,,,,,,,,,,1,,,,,,,,,,,,,,0.4
LUZERN,06.LU,2011,2,2,2,3,4,13,16,13,9,8,2,11,9,2,12,10,1,3,2010,1,1,1,1,,,1,,1,1,3,,,,2,0,0,,1,0,0,,,1,-1,4.8
ZUG,07.ZG,2011,4,4,4,3,3,6,7,7,6,5,3,5,2,3,5,2,0,1,2010,,,,,1,,,,,1,,,,,-1,1,,,,1,,,,,,1.5
GRAUBUNDEN,19.GR,2011,7,7,8,7,8,15,13,14,12,9,7,11,4,7,13,6,2,3,2010,,,1,-1,,,,2,,,2,-1,,,,-1,,1,1,,,,,,-1,2.3
APPENZELL AUSSERHODEN,03.AR,2011,1,1,1,1,1,1,2,2,2,2,1,1,0,1,1,0,0,0,2010,,,,,,,,,,,,,,,1,,2,1,,,-1,,,,-2,0.7
APPENZELL INNERHODEN,04.AI,2011,1,1,1,1,1,3,3,3,3,3,1,2,1,1,4,3,2,0,2010,,,,,,,,,,,1,0,,,,,,,,,,,,,,0.2
SANKT GALLEN ,16.SG,2011,6,6,5,6,8,10,9,6,7,6,5,9,4,5,10,5,1,2,2010,-1,-1,1,-1,,,,,1,,1,1,-1,0,1,-2,-1,,,,,,,,1,5.9
THURGAU,23.TG,2011,12,12,12,12,13,14,14,13,12,11,12,13,1,12,14,2,1,0,2010,,,,,,,,,,,1,,,,,,,,,,,,,,,3.2
GLARUS,13.GL,2011,4,4,4,4,5,5,6,6,6,6,4,5,1,4,5,1,0,0,2010,,,,,,,,,,,,,,,,1,,,,,,,,,,2.3
SCHAFFHAUSEN,12.SH,2011,4,4,5,5,7,8,7,6,5,5,4,8,4,4,8,4,0,0,2010,,,,,,,,1,,,,2,-2,,,,,,,1,,,,,,1
BASEL-LANDSCHAFT ,20.BL,2011,8,8,10,9,9,12,13,13,12,10,7,9,2,7,9,2,0,3,2010,,,,,,,,,,,1,2,,2,1,,1,,,,,,-1,2,-4,3.4
BASEL-STADT,14.BS,2011,4,4,5,5,6,7,3,4,4,4,4,6,2,4,6,2,0,0,2010,,,,,,,,,,,,1,1,,,,-1,-1,,,,,-1,,-1,2.3
