Asylum Centre,Canton,X,Y
"Bernex – Lagnon, chemin des Blanchards 30 – 1233 Bernex",GE,2495505.75,1117342
Meyrin – Feuillasse - Avenue de Mategnin 5,GE,2495693.25,1120304.5
"Vernier – Tattes, Chemin de Poussy 1",GE,2496375.25,1119389.875
Geneve - Châtelaine – abri PC - avenue Edmont-Vaucher 18 bis,GE,2497899.5,1118792.125
Geneve - Coudriers – abri PC – avenue Joli-Mont 15A ULTIMA PC APERTA,GE,2497925.25,1119674.75
Geneve – Châtelaine – abri PC - avenue Edmont-Vaucher 18 bis,GE,2498026.25,1118809.875
Le grand-Saconnex – Chemin de Coudriers 26,GE,2498167.25,1119827.25
Lancy - Annevelle – abri PC – route de Chancy 6,GE,2498432.5,1116617.125
"Le Grand-Saconnex – Tilleuls, Chemin de Bois-Brûle 6, 1292 Chambésy",GE,2498812.75,1122530.375
"Carouge – Praille-Gavard, Avenue de la Praille 41 / Rue Alexandre-Gavard 321227 Carouge (sarebbero due sale in due posti differenti)",GE,2499212,1115876.875
Carouge – abri PC - rue de la Gabelle,GE,2499221.25,1116164.125
Bellevue – Abri PC - route de Valavran 31,GE,2499822.25,1123767.5
Versoix – Bon-Séjour – abri PC - route de Sauverny 8,GE,2501786.25,1126702.375
"Geneve – Eaux-Vives, Frank-Thomas - Chemin Frank-Thomas 6",GE,2501963.75,1117625.625
Coppet – abri PC - Chemin du Chaucey,VD,2504009,1130513
Thônex – Trois-Chêne – Abri PC - chemin du Pont-Bochet 3,GE,2505599,1118223
Nyon – route du Stand – abri PC,VD,2506175,1137440
Anières - Centre d›hebergement collectif d›Anières - Chemin des Ambys 65,GE,2506975.5,1125049.625
Presinge – Chemin pré-rojoux 25 (Abbaye),GE,2508418.75,1119441.75
Begnins – abri PC - En Favre,VD,2508635,1143752
Gland – abri PC de l’école des Perrerets,VD,2510484.5,1141360.75
Ste-Croix - Rue de l’Industrie 11,VD,2528655,1185882.125
Préverenges – abri PC - Chemin du collège 4,VD,2530010,1152040
Orbe – abri PC - Le Puisoir,VD,2530430.5,1175628
Bussigny – abri PC – souterain du Dessous-le-Mont,VD,2532108.75,1155887.75
Crissier – MNA Ch.Charmeur 10,VD,2533203.25,1156595.75
"Renens - depot Heineken, occupation + contrat legale - route du closel 30 – Colletif Jean Dutoit",VD,2535106,1153619.625
"Lausanne - MNA Chablais, Malley – Avenue de Chablais 49",VD,2535955.5,1153256.5
Lausanne - MNA Chasserons - chemin du Chasseron 1,VD,2536667.5,1153661.5
Mont-sur-Lausanne – abri PC - Route de Lausanne 16,VD,2538339.25,1156376.375
Val-de-Travers – Couvet,NE,2539130.5,1197640.375
Epalinges – abri PC - l’abri de l’Ofréquaz - Grand-Vennes 6,VD,2539900.75,1154891.875
"Lausanne – Coteau-Fleuri – abri PC, sousol ecole primaire – abri des Boveresses",VD,2540237.75,1154162.125
Pully - chemin de la Damataire 13 – abri PC,VD,2540955.25,1150886.875
Provence – centre Rochats,VD,2541804.5,1193510
Lausanne - Foyer du Chalet-à-Gobet,VD,2542896.5,1157225.75
"St-Gingolph – Foyer Route Cantonale 18, 1898",VS,2551286.75,1137799.375
"La Chaux-de-Fonds - Bois-Jean-Droz, abri Pci",NE,2551655.25,1214540.25
Boudry - Perreux,NE,2552843.25,1199901
"Estavayer-Le Lac - Foyer le Lac - Route du Chasseral 9-11, 1470 Estavayer-le-Lac",FR,2555602.75,1188353.25
"Val-de-Ruz – Gollières, Hauts-Geneveys – Abris Pci",NE,2556612.25,1210996.625
Val-de-Ruz – Fontainemelon,NE,2558182.25,1211772.75
Montreux – Clarens – abri PC de Vinet -,VD,2558243.25,1143515.5
Saignelégier – Goumois - Centre de Belfond - (anche MNA),JU,2563907,1233635.625
Leysin - Route des Quatre Chalets,VD,2566718,1132648
Bex - Ch. de l'Ecluse 3,VD,2567070,1121983.5
La Tène – Perveuils – Abris Pci,NE,2567911.25,1207261.125
"Gampelen – Witzwil, Eschenhof – Eschenhof 191",BE,2571852,1204974
Porrentruy - Ex Hotel du Jura,JU,2572063,1252311.375
"Tramelan – Centre d’hébergement collectif  - Grand-Rue 91, 2720 Tramelan",BE,2574912.75,1230344.75
"Broc - Foyer des Passereaux - Route du Pessot 19, 1636 Broc",FR,2575209.5,1161355.75
"Hauterive - Foyer provisoire de Châtillon - Route de Châtillon 25, 1725 Posieux",FR,2575635.25,1180808
Fribourg -  Foyer de la Poya - Avenue du Général-Guisan 22,FR,2578296,1184565.875
Fribourg - Foyer des Remparts - Derrière-les-Remparts 16,FR,2578425.75,1184239
Fribourg - Foyer du Bourg - Rue de Morat 17,FR,2578635,1184183.25
Chamoson – Mayens de Chamoson - Gasthaus Le Temps de vivre,VS,2580394.25,1117096.875
Düdingen = Guin - Zivilschutzanlage Leimacker,FR,2581861.5,1188268.875
Reconvilier - rue de la colline 50,BE,2584341.75,1231862.375
Biel - Durchgangszentrum Schlüssel (vicino a Bienne) – zentralstrasse 57,BE,2585505,1220587.875
Ardon – chemin du neavis 24,VS,2586349,1118064
Biel - Zivilschutzanlage Linde,BE,2586591.25,1220614.5
Haute-Sorne – Courfaivre – ancien hotel de la Croix Blanche – anche MNA,JU,2587957.25,1242809
"Lyss – Kappelen, Durchgangszentrum",BE,2589658.5,1213420.75
Boltigen – Jaunpass - Militärunterkunft,BE,2592522,1160279.375
Büren an der Aare - Riesenmattstrasse 28,BE,2593898.75,1221522.625
Sion – Rados,VS,2594235,1119787
"Courroux - Centre de Soyhières – bellerive 1,",JU,2594377.25,1248162.5
Courrendlin - Centre de Courrendlin – Rte de Délemont 52,JU,2594705.5,1243762.5
"Wohlen – Hinterkappelen, Dorfstrasse 15",BE,2595620.75,1201922.625
Vex – Asylunterkunft Auberge de l’Ours de Tyhon -  Les collons/Vex,VS,2595817.5,1114778.875
"Kirchlindach - Herrenschwanden - Durchgangszentrum Hallenbrücke im Kirchlindach (Pfarrei Heiligkreuz, Felsenau) - Bernstrasse 1",BE,2598410.5,1202451.5
Köniz – Sandwürfi - Muhlernstrasse 67/69,BE,2598495.5,1196206.375
Mont-Noble - Vernamiège - Inalp,VS,2599522.75,1117783.125
Bremgarten - Zivilschutzanlage,AG,2599857,1202781.625
Bern – Feuerwehrkasserne – Viktoria-Areal,BE,2601058.5,1200383.25
Selzach - Villa Schläfi,SO,2601240.5,1228297.375
Zollikofen - Bernstrasse 3A,BE,2601397.5,1203632.375
Sierre – Centre detention administrative Granges,VS,2601529.25,1123362.875
Ittigen - Zivilschutzanlage BSA Eyfeld an der Papiermühlestrasse 130,BE,2602540.5,1202160
"Riggisberg – Zivilschutzanlage, Sandgrubenweg 11",BE,2603241.25,1184206.25
Moosseedorf – Zivilschutzanlage,BE,2603682.75,1206678
Belp - MNA – Wohnheim Säget - Sägetstrasse 15,BE,2604778.5,1192941.375
Muri bei Bern – Muri-Gümligen – Zivilschutzanlage Siloah ,BE,2605663.5,1198357.125
"Muri b. Bern – Muri-Gümligen, Zivilschutzanlage Siloah",BE,2605947,1197949
"Allschwil – Atlas, Vogesenweg 9",BL,2607852,1267384.875
Hindelbank – Zivilschutzanlage,BE,2607940.75,1210550
Therwil – Bahnhofstrasse 1,BL,2608673.25,1260935.75
Oberwil BL - Bottmingerstrasse 61,BL,2609190,1262837.25
Biberist – Zuchwil - Aussenstation der Strafanstalt Schöngrün im Bleichenberg – Asylweg 10,SO,2609667.5,1227246.875
Basel – Dornacherstrasse 43-45/ Frobenstrasse 58 in Gundeli,BS ,2611071,1266029.875
Küssnacht - Luterbach Sportallee – Containersiedlung,SZ,2611263.25,1229267.375
Basel - Asylwohnheim an der Ecke Feldbergstrasse (47)/Klybeckstrasse,BS,2611448.75,1268410.75
Basel  - Zivilschutzanlage Kleinhüningen Neuhausstrasse,BS,2611536,1270418.875
Reinach – Medienhaus - Pfeffingerstrasse 3,BL,2611830,1259921.5
Reinach -  Kägenhofweg,BL,2612134.75,1259786.875
Basel – BAZ Freiburgerstrasse 50 4057 Basel,BS,2612463.25,1269848.125
Basel – Zivilschutzanlage Grün 80 – Brüglingen,BS,2613251.25,1265167.25
Arlesheim – Zivilschutzanlage - General Guisan-Strasse – ALST,BL,2613359,1260839.125
Burgdorf - Lindenfeld Zivilschutzanlage,BE,2613647,1211043.625
Oberdiessbach – Burgdorfstrasse 5,BE,2613741.25,1187653.25
Hasle bei Burgdorf – Schulhaus Schaufhausen,BE,2613772.75,1205468.75
Konolfingen - Emmentalstrasse 73,BE,2614838.75,1192696
Riehen - Mattenhof,BS,2614947.5,1270189.5
"Spiez – Hondrich, Kollektivunterkunft Freyberg bei Spiez – 100 metri da aeschistrasse 12",BE,2618459,1168916.875
Liestal – Benzburgweg 3a,BL,2622839.75,1258500
Signau – Schüpbach – Eggiwilstrasse 33,BE,2622952.25,1197169
Lampenberg - Asylheim Station Lampenberg im Ramlinsburg,BL,2624365,1254726.375
Aarwangen – Kollektivunterkunf. Eyhalde 11A,BE,2624665.5,1232612.125
Oberbuchsiten – Halmackerstrasse 356,SO,2625240.25,1239394.875
Egerkingen - Klinik Fridau,SO,2627277.25,1242269.75
Langnau im Emmental - Bärau - MNA,BE,2628335,1197842.125
Sissach - Gelterkinderstrasse am Ortsausgang,BL,2628809,1256883.875
Pfaffnau – St. Urban,LU,2630605.25,1231084.125
Möhlin - Sailistrasse,AG,2630667,1268079
Unterseen – MNA - Mon-Bijou-Villa – Seestrasse 44,BE,2630970.25,1170284.875
Unterseen – Hotel Krone - Spielmatte 16,BE,2631604,1170693
Matten bei Interlaken – Hotel Restaurant Rugen,BE,2632565,1169651.375
Visp/Viège – Flüchtlingsheim Kleegärtenstrasse,VS,2634162,1127096.875
Olten - Gheid – ALST Unterkunft (Zivilschutzanlage),SO,2634267.75,1243488.75
Ringgenberg – Ferienheim Dorf an der Hauptstrasse,BE,2634592.5,1172260.5
Aarburg - Lindengutstrasse 5 und 7,AG,2635578.5,1240953.5
Oftringen – Langernweg 90,AG,2636770.25,1241116.25
Zofingen - Grund Neubau Rehaklinik – neben Spital,AG,2638447,1238481
Kienberg – Hübelistrasse 26,SO,2639937.5,1254410.125
Nebikon,LU,2640594,1227095.875
Dagmeresellen – Werkhof,LU,2641322.25,1228968
Willisau,LU,2642429.75,1218877.875
Grindelwald  - MNA – Herzogenbuchsee 20 – Sonnenbergweg,BE,2645493,1164281.25
Aarau – Laurenzenvorstadt 71,AG,2646119.5,1249443.625
Laufenburg - hinteren Bahnhofstraße,AG,2646790.75,1267853
Suhr – UMA ,AG,2647159.75,1248719.875
Suhr - Aarauer Schwesternhaus ,AG,2647160.75,1248736.375
Buchs – Gartenweg 16 + 20,AG,2647292.5,1249104
Holderbank - abgewiesene Asylbewerber,AG,2655318.75,1253707.375
Riniken – Restaurant Hirschen,AG,2656481.75,1260558.875
Menziken – Hotel Sternen,AG,2656496.75,1233020.875
Beromünster,LU,2656575.25,1228937.375
"Brugg - Restaurants ""Jägerstübli"" - Zurzacherstrasse",AG,2658143.75,1259860
Hausen - Hauptstrasse 28 und 30,AG,2658216.75,1257303.625
Beinwil am See – Hallwilersee – ehemaligen Burgerheim ,AG,2658264,1235140.25
Birr,AG,2658276.25,1253781.5
Untersiggenthal – Asylunterkunft Stroppel – ehemaliges Mädchenwohnheim Coats Stroppel AG,AG,2660307.25,1261810.75
Villmergen,AG,2660704.75,1244840.25
Wohlen - Barackensiedlung – Sorenbühlweg,AG,2663129.5,1244831
Baden - Kantonsspital – GOPS,AG,2663342.75,1256244.75
Emmen – Sonnenhof Emmenbrücke,LU,2663361.5,1214964.125
Fislisbach – Containersiedlung – Feldstrasse bei der Guggerwiese,AG,2663987,1254453.125
Luzern – Notunterkunft - Industriegebiet Ibach,LU,2664823,1213067.25
Luzern – Hirschpark Durchgangszentrum (DGZ),LU,2664950.7,1212222.2
Luzern – Eichof-Areal,LU,2665353,1209667
Rekingen – Rossweg,AG,2666009.5,1269871.875
Luzern – Notunterkunft abgewiesene Asylbewerber ,LU,2666326.5,1210739.5
Neuenhof – Stockstrasse 9 und 11,AG,2666343.25,1256143.375
Muri – GOPS – neben Spital,AG,2667460.25,1236695.75
Ebikon – Löwen,LU,2668307.25,1214778.625
Stansstad – Rotzloch ,NW,2668604.75,1203062.375
Stans - Stansstaderstasse 80,NW,2669855.25,1202021.125
"Stans - Ennetmooserstrasse 19A, 6370 Stans",NW,2669995.75,1201387.5
Urdorf – NOK für abgewiesene Asylbewerber - Werkhofstrasse 337,ZH-ag,2674218,1247434
Dietikon - Durchgangszentrums an der Schönenwerdkreuzung,ZH-ag,2674436,1250072.625
Birmensdorf – Schürenstrasse - neben der Kaserne Zürich-Reppischtal,ZH-ag,2675143.5,1245639.75
Risch,ZG,2675877.75,1222965.625
Schlieren – Wiesenstrasse 9c,ZH-ag,2675893,1250350.25
Affoltern am Albis - MNA-Zentrum Lilienberg - Mühlebergstrasse 100,ZH-ag,2676906.75,1237238.5
Cham – Zivilscutzanlage,ZG,2677466.25,1226635
Zürich – Zentrum Juch - Juchstrasse 27,ZH-Stadt,2678750.75,1249947.375
Niederhasli – Industriestrasse,ZH-ag,2679404,1259276.125
Steinhausen – Durchgangstation ,ZG,2679607,1227051
Neunkirch – Haus zum Sternen ,SH,2679718.75,1282548.125
Zürich – MNA Aussenstelle Höngg ,ZH-Stadt,2679745,1250983.125
Zürich – Containersiedlung Altstetten – Aargauerstrasse (penso già considerato),ZH-Stadt,2680167.25,1249541.375
Zürich – Wiedikon – Zivilschutzanlage Saumstrasse (solo per dormire),ZH-Stadt,2681227.5,1247214.25
Zürich – Dorfstrasse 9 in Zürich-Wipkingen,ZH-Stadt,2681920.25,1249799.5
Adliswil - Durchgangszentrum Adliswil – Sihlstrasse 25,ZH-ag,2682313,1239628.375
"Zürich – Durchgangszentrum Regensbergstrasse, Regensbergstrasse 243",ZH-Stadt,2682392,1251676.375
"Opfikon - Notunterkunft Rohr – Rohrstrasse 400, Glattbrugg",ZH-ag,2683946.75,1255301
Zürich – MNA Aussenstelle Leutschenbach,ZH-Stadt,2684146.25,1252157.375
Zürich – Containersiedlung Leutschenbachstrasse 72 – Heineken-Areal,ZH-Stadt,2684370,1252381.75
Baar – Allenwinden,ZG,2684673.5,1224375.75
Zürich – MNA Aussenstelle Sonnenberg,ZH-Stadt,2685225.75,1246650.75
Zollikon – Asylunterkunft Buechholz - Truppenunterkunft liegt auf dem Areal des Schulhauses,ZH-AG,2685952.5,1243922
Kloten – Asylunterkunft Zürich-Flughafen,ZH-ag,2686067.25,1256463.625
Menzigen – Gubel,ZG,2686140,1223764
"Embrach – Bundesaylzentrum, Römerweg 31 1 e 2",ZH-ag,2686257.5,1264387.875
Neuhausen am Rheinfall – Ermsstrasse/Gartenstrasse 16,SH,2688984.75,1281985.125
"Schaffhausen - Krebsbach in der Stadt, Krebsbachstrasse 83",SH,2690099.5,1284903.75
Morschach - Durchgangszentrum Hotel Degenbalm ,SZ,2690130,1203972.25
Schaffhausen – Wohncontainer Schweizersbild ,SH,2690216,1286679
Schaffhausen – Unterkunft im Pfarrhaus St.Peter ,SH,2690899,1285855
Altdorf - Gurtenmundstrasse 33,UR,2691031.5,1192241.25
"Schaffhausen – Ebnatfeld in der Stadt  – renitente Asylbewerber - Ebnatfeld 12 & 14, 8200 Schaffhausen",SH,2691159,1285455.625
Kaltbach – Wohcontainer,SZ,2691790.25,1209963.5
Lavizzara - Peccia ,TI,2693066,1140349.375
"Volketswil - Durchgangszentrum Hegnau – Kindhauserstrasse 35,",ZH-ag,2693550,1249847.875
Hinteregg - Durchgangszentrum Ober Halden - Ober Halden 1031,ZH-ag,2694552,1241050.375
"Lindau - Kemptthal, Durchgangszentrum Hammermühle – Wintherthurstrasse 21, Kemptthal – (centro per chi è in attesa di espulsione)",ZH-ag,2695307.75,1256102.75
Winterthur – Zentrum Kloster – Durchgangszentrum - ehemaligen Klostermühle in Töss,ZH-ag,2695389.5,1261045.5
Muotathal - Durchgangszentrum Grünenwald ,SZ,2696258,1204883.25
Einsiedeln - Bennau - Durchgangszentrum Biberhof,SZ,2697404,1223399.625
Uster - Notunterkunft,ZH-ag,2697620.5,1246423.625
Winterthur – Siedlung Hegifeld - Hegifeldstrasse 76,ZH-ag,2700250.75,1262887.75
Buch SH – Durchgangszentrum Friedeck – Oberdorfstrasse 15,SH,2701016.75,1285815.125
Losone,TI,2701633.5,1114321.125
Stein am Rhein – Asylunterkunft Hotel Schwanen,SH,2706668,1279499.375
Bauma - Durchgangszentrum Bauma - Tössareal,ZH-ag,2707790.25,1247573
Frauenfeld – Durchgangsheim Häberlinstrasse 19 8502 Frauenfeld,TG,2708792.5,1268172.125
