ID,Regionsname,x,Year,SVP,Right,Turnout,Diffdistance,Language,Canton,Population,Density,GDPcap,TertiaryDegree,Foreigners,Media,Age20.64,Distance,Typology,Surface,Unemployment,Rural,time,treated,did,Districts
1,Aadorf,1,1999,30.04,35.65,50.8,0,de,TG,8794,441.0230692076,35173.22037753,18.6,15.9768023652,S,63.088469411,4264.11622054323,Intermediaire,19.9,1.72,0,1,0,0, Münchwilen
7,Aarberg,7,1999,28.55,36.53,45.89,0,de,BE,4529,571.1223203026,33797.328328549,19,11.6582026938,M,61.4705232943,3751.79762934865,Intermediaire,7.9,1.42,0,1,0,0, Seeland
13,Abtwil,13,1999,39.32,44.19,42.47,0,de,AG,970,233.734939759,31606.597938144,16.5,12.5773195876,ZNW,66.9072164948,6818.11338879525,Rural,4.2,1.48,1,1,0,0, Muri
19,Aclens,19,1999,10.52,11.14,36.6,744.72598298721,fr,VD,525,134.6153846154,44901.714285714,20.3,27.2380952381,V,63.2380952381,3828.04041235476,Intermediaire,3.9,2.61,0,1,1,1,Morges 
25,Acquarossa,25,1999,5.28,23.09,44.33,0,it,TI,1856,30.1347621367,24770.36637931,14.4,11.8534482759,T,55.0107758621,9687.46963959593,Rural,61.6,4.28,1,1,0,0, Blenio
31,Adelboden,31,1999,35.56,68.05,49.73,0,de,BE,3437,39.2306814291,22840.325865581,11.1,6.6045970323,H,56.7064300262,20115.0331987775,Intermediaire,88.2,1.29,0,1,0,0, Frutigen-Nied
37,Adligenswil,37,1999,21.4,22.24,51.23,3254.77202111985,de,LU,5348,765.0929899857,40453.739715782,31.1,10.3029169783,ZE,58.1151832461,2327.5795439359,Urbain,7,1.39,0,1,1,1, Luzern-Land
43,Adlikon,43,1999,69.21,75.32,58.54,0,de,ZH,662,100.6079027356,31424.773413897,20.4,9.0634441088,ZNO,62.3867069486,9776.98157180133,Rural,6.6,3.17,1,1,0,0, Andelfingen
49,Aedermannsdorf,49,1999,16.1,16.16,63.49,0,de,SO,549,42.4922600619,27106.375227687,15.2,4.3715846995,M,59.3806921676,10060.5002032259,Rural,12.9,1.32,1,1,0,0, Thal
55,Aefligen,55,1999,39.44,48.02,31.42,7878.45059152971,de,BE,1067,523.0392156863,31081.443298969,13.4,6.8416119963,BE,63.2614807873,5572.63753782319,Urbain,2.1,1.96,0,1,1,1, Emmental
61,Aegerten,61,1999,21.71,35.78,34.79,0,de,BE,1874,867.5925925926,29162.219850587,16.3,16.7022411953,M,57.7908217716,2822.5408993857,Urbain,2.2,2.54,0,1,0,0, Biel/Bienne
67,Aesch (BL),67,1999,14.47,25.35,34.12,0,de,BL,10173,1374.7297297297,39810.478718176,20.6,23.611520692,BA,59.6480880763,2443.56080562571,Urbain,7.4,2.8,0,1,0,0, Arlesheim
73,Aesch (LU),73,1999,24.78,26.13,54.01,8211.31809562346,de,LU,1088,236.0086767896,34750.919117647,17.7,9.4669117647,ZE,63.6029411765,2565.22693581114,Rural,4.7,1.28,1,1,1,1, Hochdorf
79,Aesch (ZH),79,1999,42.08,44.77,59.84,0,de,ZH,6254,547.6357267951,44247.841381516,29.5,23.1531819635,ZS,59.8496961944,2251.27693961238,Urbain,5.2,1.74,0,1,0,0, Dietikon
85,Aeschi bei Spiez,85,1999,43.94,55.7,48.74,0,de,BE,2217,71.5392061955,26935.543527289,16.9,6.5854758683,H,59.2692828146,1680.44041712939,Rural,30.9,0.66,1,1,0,0, Frutigen-Nied
91,Aeugst am Albis,91,1999,29.69,33.91,49.05,0,de,ZH,1981,250.4424778761,52037.102473498,33.1,12.7713276123,ZS,62.0393740535,2984.81367263438,Rural,7.9,1.93,1,1,0,0, Affoltern
97,Affeltrangen,97,1999,47.34,56.51,49.35,1168.41943340589,de,TG,2495,172.9036729037,29113.466933868,15.4,15.751503006,ZNO,62.8857715431,6560.48963337898,Rural,14.4,1.45,1,1,1,1, Weinfelden
103,Affoltern im Emmental,103,1999,54.96,64.13,45.49,6496.89324736911,de,BE,1159,100.6950477845,22997.756686799,17.6,4.0552200173,BE,59.6203623814,8992.77646434829,Rural,11.5,1.95,1,1,1,1, Emmental
109,Agarn,109,1999,6,6,77.8,0,de,VS,780,101.9607843137,24163.974358974,8.2,8.4615384615,H,61.5384615385,16258.914514216,Rural,7.6,1.19,1,1,0,0, Leuk
115,Agiez,115,1999,19.46,20.69,27.44,0,fr,VD,310,56.7765567766,32846.129032258,17.5,17.0967741935,V,62.2580645161,1995.69748246367,Rural,5.5,2.85,1,1,0,0, Jura-Nord-vaudois
